instance,V1_init,V2_init,V3_init,T1_init,T2_init,T3_init,xA1_init,xA2_init,xA3_init,xB1_init,xB2_init,xB3_init,F1_init,F2_init,F3_init,Ff1_init,Ff2_init,FR_init,Q1_init,Q2_init,Q3_init,V1_sp,V2_sp,V3_sp,T1_sp,T2_sp,T3_sp,xA1_sp,xA2_sp,xA3_sp,xB1_sp,xB2_sp,xB3_sp,F1_sp,F2_sp,F3_sp,Ff1_sp,Ff2_sp,FR_sp,Q1_sp,Q2_sp,Q3_sp
304,0.98,1.1,2.3,405.0571687,400.4023639,404.8842762,0.785460492,0.755867003,0.614582136,0.212300769,0.241240141,0.380251961,19.97283783,27.73537461,13.46703011,5.984264784,7.762536786,13.98857304,700665.365,532974.6483,522093.5343,0.82,1.2,2.2,416.1879906,411.0605979,416.4736872,0.698099272,0.647012568,0.469674274,0.296657303,0.345676763,0.517699179,17.46520984,24.64613265,12.08274433,5.148162474,7.180922805,12.31704737,700486.5124,600025.9768,560336.4265
305,0.82,1.2,2.2,416.1879906,411.0605979,416.4736872,0.698099272,0.647012568,0.469674274,0.296657303,0.345676763,0.517699179,17.46520984,24.64613265,12.08274433,5.148162474,7.180922805,12.31704737,700486.5124,600025.9768,560336.4265,1.3,0.58,2.1,434.1200942,425.6313544,430.7863864,0.456182713,0.496115385,0.253969597,0.51818505,0.479789469,0.700275437,22.00793163,27.91131119,10.27325649,4.715721137,5.903379561,17.2922105,703408.9454,492941.3199,604317.1674
306,1.3,0.58,2.1,434.1200942,425.6313544,430.7863864,0.456182713,0.496115385,0.253969597,0.51818505,0.479789469,0.700275437,22.00793163,27.91131119,10.27325649,4.715721137,5.903379561,17.2922105,703408.9454,492941.3199,604317.1674,0.94,1.9,1.0,398.3918354,395.9964428,399.6044385,0.833677751,0.767002228,0.623388458,0.165097258,0.230652157,0.372293319,24.2216058,33.11415838,15.4588924,6.912521507,8.89255258,17.3090843,685260.5323,507782.2041,501797.8011
307,0.94,1.9,1.0,398.3918354,395.9964428,399.6044385,0.833677751,0.767002228,0.623388458,0.165097258,0.230652157,0.372293319,24.2216058,33.11415838,15.4588924,6.912521507,8.89255258,17.3090843,685260.5323,507782.2041,501797.8011,1.9,1.1,1.1,402.4094891,400.5997934,404.8391407,0.73947752,0.719814628,0.558083974,0.257073523,0.276189116,0.434696783,26.26918719,32.93848398,15.53877345,9.21064745,6.669296791,17.05853974,729387.2344,555497.8879,586478.4658
308,1.9,1.1,1.1,402.4094891,400.5997934,404.8391407,0.73947752,0.719814628,0.558083974,0.257073523,0.276189116,0.434696783,26.26918719,32.93848398,15.53877345,9.21064745,6.669296791,17.05853974,729387.2344,555497.8879,586478.4658,0.74,0.74,1.2,422.2294665,411.1551487,415.5125592,0.696600644,0.707877723,0.50913604,0.298180235,0.286901047,0.480381595,19.96653747,28.67895686,11.44166529,3.067232002,8.712419396,16.89930547,714481.5257,578875.993,524857.4399
310,2.4,1.3,2.4,443.3458858,432.1620236,439.3765553,0.201211018,0.278326393,0.145861845,0.670151099,0.612356728,0.705908185,12.24590838,18.07527706,10.97725508,5.287063306,5.82936868,6.958845079,710391.9935,589198.1969,547776.7868,1.4,2.1,0.68,441.560029,428.1355663,433.4203181,0.28125164,0.310808449,0.141811471,0.649779719,0.620319058,0.752738696,15.54797308,23.70683428,11.43091738,3.512760443,8.158861194,12.03521264,701190.5464,515203.2097,526195.8075
311,1.4,2.1,0.68,441.560029,428.1355663,433.4203181,0.28125164,0.310808449,0.141811471,0.649779719,0.620319058,0.752738696,15.54797308,23.70683428,11.43091738,3.512760443,8.158861194,12.03521264,701190.5464,515203.2097,526195.8075,1.1,2.4,0.74,429.5469226,431.0840408,437.3647521,0.39919306,0.267410845,0.121816429,0.560426469,0.663726609,0.777751892,15.14022246,20.04601136,10.38263473,5.666323805,4.905788899,9.473898658,701732.6262,495107.9125,528793.4153
312,1.1,2.4,0.74,429.5469226,431.0840408,437.3647521,0.39919306,0.267410845,0.121816429,0.560426469,0.663726609,0.777751892,15.14022246,20.04601136,10.38263473,5.666323805,4.905788899,9.473898658,701732.6262,495107.9125,528793.4153,2.4,0.99,1.2,427.5552277,422.240055,429.0802641,0.357086943,0.399093052,0.242701154,0.594155345,0.55571559,0.692485715,15.09943293,20.43013326,12.09510002,6.927831713,5.330700329,8.171601214,708891.2928,609983.5369,586933.2901
313,2.4,0.99,1.2,427.5552277,422.240055,429.0802641,0.357086943,0.399093052,0.242701154,0.594155345,0.55571559,0.692485715,15.09943293,20.43013326,12.09510002,6.927831713,5.330700329,8.171601214,708891.2928,609983.5369,586933.2901,2.0,0.83,1.5,401.4989867,395.021145,399.1095339,0.743069223,0.769296146,0.630223808,0.253562446,0.227696786,0.364314163,25.30416163,34.92527314,16.62739334,7.365063784,9.621111513,17.93909784,702603.9501,498740.6558,599707.2295
314,2.0,0.83,1.5,401.4989867,395.021145,399.1095339,0.743069223,0.769296146,0.630223808,0.253562446,0.227696786,0.364314163,25.30416163,34.92527314,16.62739334,7.365063784,9.621111513,17.93909784,702603.9501,498740.6558,599707.2295,2.0,0.52,0.57,392.5543607,387.4689889,391.5249707,0.800907576,0.835422064,0.76045981,0.19721077,0.163061965,0.237157311,21.53562912,30.83273112,18.03151335,8.985415625,9.297101993,12.5502135,715781.0595,514851.3605,525239.3899
316,1.9,1.1,2.4,406.5504257,403.6097304,409.360891,0.662519966,0.651446439,0.507058148,0.330633411,0.341130256,0.481284968,19.19552711,25.51234855,14.40906132,8.309951394,6.316821436,10.88557572,715304.5992,528317.738,616271.7521,1.4,1.5,2.0,395.2145799,393.0331203,396.9961038,0.815410012,0.778045123,0.66723265,0.183042524,0.219780294,0.329175184,21.74223218,29.94569418,16.26255188,8.327386793,8.203461996,13.41484539,688279.1683,523000.9732,498431.2052
317,1.4,1.5,2.0,395.2145799,393.0331203,396.9961038,0.815410012,0.778045123,0.66723265,0.183042524,0.219780294,0.329175184,21.74223218,29.94569418,16.26255188,8.327386793,8.203461996,13.41484539,688279.1683,523000.9732,498431.2052,1.3,2.0,0.57,397.3700084,398.7785665,405.5787554,0.768133682,0.667498244,0.583838374,0.229040494,0.32680065,0.408628523,14.71056008,21.55141179,15.38478235,8.664844941,6.840851708,6.045715138,731808.7496,582590.4542,615525.4235
318,1.3,2.0,0.57,397.3700084,398.7785665,405.5787554,0.768133682,0.667498244,0.583838374,0.229040494,0.32680065,0.408628523,14.71056008,21.55141179,15.38478235,8.664844941,6.840851708,6.045715138,731808.7496,582590.4542,615525.4235,2.3,2.4,0.92,443.6469801,422.9058492,428.7283904,0.201876307,0.318307427,0.172667272,0.676332325,0.590190748,0.69993296,12.77762075,22.41142883,13.29320406,3.838184692,9.633808085,8.939436058,682749.3743,521760.7338,548114.7903
319,2.3,2.4,0.92,443.6469801,422.9058492,428.7283904,0.201876307,0.318307427,0.172667272,0.676332325,0.590190748,0.69993296,12.77762075,22.41142883,13.29320406,3.838184692,9.633808085,8.939436058,682749.3743,521760.7338,548114.7903,1.2,0.66,1.8,424.8437796,419.1250186,423.7153649,0.573104751,0.580498652,0.350089898,0.414297829,0.406598635,0.625298788,21.45798448,27.17802931,10.82428927,5.42490602,5.720044823,16.03307846,720443.3758,535835.9193,523976.8542
