V1,V2,V3,T1,T2,T3,xA1,xA2,xA3,xB1,xB2,xB3,targets
-0.616636447,-1.291247333,-0.226768126,1.875332353,1.746670498,1.741125883,-1.473007248,-1.220759534,-1.260175397,1.487591958,1.188049165,1.176354555,2
-0.158681614,1.14037671,0.270928235,-0.868041364,-1.112014237,-1.129993298,0.82592469,0.699912243,0.706918759,-0.832922237,-0.676129861,-0.637159869,1
-0.23500742,-1.190974176,0.270928235,-0.923546457,-0.876331532,-0.814834924,0.825777752,1.089183953,1.318356934,-0.933463996,-1.212731694,-1.500789651,3
-0.222286452,0.914762108,0.519776415,0.152639977,0.823240023,0.834598029,-0.158970811,-0.811193795,-0.851733816,0.149312259,0.876517622,0.936810206,3
2.09292965,-0.012764588,-0.724464487,1.11460615,0.898310235,0.792371959,-1.531586787,-1.249048208,-1.425948517,1.637402886,1.297005267,1.488460534,3
0.019411932,-0.514130371,-0.400961852,0.437854128,0.194992362,0.199473657,-0.30243979,-0.019293688,-0.079785656,0.292395894,-0.007014652,0.047756366,4
-0.998265475,-0.426391359,1.440514683,0.912678163,0.711130446,0.795388099,-0.652654187,-0.518165528,-0.332444292,0.581393858,0.432732474,0.194768399,2
0.019411932,-0.413857214,-0.973312667,-1.929600938,-2.172798387,-2.221899198,1.824820734,2.037794845,2.141264377,-1.880479923,-2.101933346,-2.206651692,3
0.273831284,0.676613362,-0.649810033,0.63476022,1.003680365,0.970704853,-0.50603261,-0.799181204,-1.092854792,0.536250873,0.866356905,1.216280109,3
-0.23500742,1.240649867,1.316090593,-0.045249086,-0.015853403,0.010082607,-0.041165436,-0.260344331,-0.138921197,0.019092141,0.263856572,0.123775797,4
-0.616636447,-1.491793646,-0.351192216,1.8084758,0.969106034,1.074381474,-1.317643779,-0.661628485,-0.590972096,1.364340032,0.649492281,0.558231439,4
1.03708934,0.338191459,0.270928235,-0.305378006,0.305083898,0.197697963,-0.067490082,-0.396299975,-0.60508766,0.072927447,0.419329526,0.640647123,3
-2.194036429,0.989966976,0.270928235,-2.012820846,-2.276411904,-2.350675374,2.412555395,2.229522963,2.071956204,-2.224995013,-1.995951894,-1.78216032,3
0.222947414,-1.679805814,-0.973312667,1.481717298,1.276869065,1.226640654,-0.879762738,-0.497923996,-0.931985837,0.945236167,0.519443027,1.014004571,2
-0.107797744,-1.880352127,0.519776415,-0.496504337,-0.655641888,-0.56490771,0.539271868,0.908691422,1.1105562,-0.607711365,-1.002269827,-1.242237612,3
-0.006030003,-0.890154707,-0.848888577,-2.006536716,-1.552003432,-1.519943061,1.776546642,1.653650685,1.575366597,-1.677397863,-1.534412295,-1.421624779,3
-0.463984836,1.491332758,0.270928235,0.208286638,0.511991134,0.380630225,0.035460804,-0.440726394,-0.695190806,-0.066159813,0.460152026,0.751303451,3
-0.044192906,-1.993159428,0.270928235,2.192804579,2.410541366,2.432088129,-1.712505516,-1.494230822,-1.377657267,1.75122828,1.449222318,1.224990548,2
2.296465131,0.237918303,-1.371469756,-1.77051168,-1.953493025,-1.938846378,0.630274182,0.867466603,0.908304655,-0.621970617,-0.823285763,-0.782825574,2
-1.647034822,1.090240132,-0.276537762,-0.273303397,-0.500033634,-0.513860783,0.748856854,0.647948427,0.554106731,-0.837420875,-0.714957537,-0.621474936,4
-0.107797744,-2.256376463,-1.856723708,0.163034694,-0.573738906,-0.603751791,0.233017835,1.158513536,0.963428148,-0.262944189,-1.228778135,-1.018335513,4
0.655460312,-0.526664515,1.017472776,-2.004109944,-1.112709053,-1.184865585,1.586060058,1.121555848,0.759916294,-1.181971552,-0.766646119,-0.257993899,2
-0.362217096,0.877159675,0.022080054,-0.083411449,-0.391639208,-0.386150936,0.171065772,0.222753455,0.287844072,-0.20571241,-0.258281527,-0.336146732,1
1.03708934,-0.263447479,-1.097736758,0.915438456,1.066355382,1.134563271,-1.306978596,-1.328589646,-1.143785753,1.313592767,1.316767804,1.083963968,1
-1.888733207,-0.990427863,1.639593227,-1.014943249,-1.274463321,-1.315995927,1.650188641,1.899329866,1.869372097,-1.745555423,-1.995535453,-1.964659398,3
0.909879664,1.466264469,-0.600040397,1.111048505,1.080936624,1.127591142,-1.489793683,-1.663391908,-1.608130525,1.579467805,1.762493515,1.715903873,3
-0.947381605,-0.012764588,-1.520778664,0.168981368,0.420970582,0.362523954,0.274947428,-0.011533796,-0.290857056,-0.297435651,0.015948707,0.318887672,4
1.495044173,-0.977893719,1.813786953,1.244915736,0.692921314,0.763202921,-1.588537252,-0.825295426,-0.474204123,1.375042169,0.599791564,0.148404503,3
1.444160303,0.989966976,0.519776415,0.549905139,1.156038251,1.099588304,-1.121503424,-1.514432697,-1.558146163,1.172931266,1.565906578,1.607416561,3
-0.489426772,-0.012764588,-1.07285194,0.666576924,0.459246773,0.437908044,-0.515501924,-0.354308403,-0.328956137,0.495439167,0.306716467,0.242805249,1
0.273831284,0.363259748,0.494891597,-0.531537809,-0.858173898,-0.873801897,0.62175841,0.802551807,0.631923161,-0.634220437,-0.78516404,-0.556473679,1
0.782669988,-1.767544826,-0.351192216,-0.142096952,-0.09308679,0.060581416,-0.227931079,0.056272831,0.366696028,0.217201117,-0.087545813,-0.44074774,3
-0.616636447,1.742015649,1.390745047,-0.309349192,-0.106778926,-0.152771495,0.410085291,-0.048897312,0.008707195,-0.460497243,0.046393798,-0.022056578,4
0.528250636,-1.767544826,-0.475616306,1.11786897,0.642962912,0.55408952,-0.894102507,-0.276599648,-0.614731127,0.931366368,0.254671377,0.621610647,1
0.146621608,0.739284085,-0.898658213,0.669275224,1.35443313,1.435451599,-0.971083056,-1.520111698,-1.08548272,0.879696662,1.401292398,0.884537187,1
-1.863291272,0.613942639,1.440514683,-0.724941126,-0.699952892,-0.722805745,1.35753379,1.000668924,0.634924301,-1.332002271,-0.870264682,-0.430730046,1
1.902115136,-1.441657067,-1.794511663,-0.09322307,-0.809890102,-0.814046762,-0.353235919,0.601529603,0.747379316,0.36280188,-0.669654127,-0.84590748,4
-0.743846123,1.165444999,2.211944042,1.51325432,1.728520728,1.790178465,-1.426386218,-1.794115309,-1.596904733,1.354385978,1.711403124,1.46930276,3
-0.934660637,-1.516861935,-0.351192216,-0.808069486,-0.748986976,-0.784847631,1.426986235,1.538308631,1.180590624,-1.400995995,-1.470434852,-1.05256002,3
1.991161909,1.742015649,-0.226768126,0.243676876,0.053870353,-0.055085057,-0.935798701,-0.895291315,-0.876313479,0.976127874,0.925213607,0.895878376,4
-0.107797744,-0.138106034,0.270928235,0.866921562,0.926628087,0.938857503,-0.902219145,-0.910833156,-0.738190444,0.835266159,0.824117176,0.567793957,1
0.146621608,-1.253644899,0.519776415,-2.036307373,-2.006776116,-2.063749515,1.885074078,2.094421043,2.076902295,-1.889563864,-2.101148015,-2.062752392,1
0.655460312,1.729481504,0.146504145,0.548276155,1.221114999,1.228740468,-0.779909622,-1.483140933,-1.554900922,0.830491727,1.597632607,1.701786504,3
0.273831284,-1.742476537,-1.284372893,0.354901174,0.105760744,0.09175267,-0.180571913,0.356933072,0.209499357,0.173303542,-0.405408841,-0.251408948,4
