x1,x2,x3,x4,x5,x6
-4.753602368217228,-107.80930184461312,-1133.5577399858726,-496.85773795178085,-51.262156654537975,-1053.8486003013309
-52.707776180296996,-94.4771143880426,-503.49050118235164,-273.60391932159376,-8.770383218438981,-430.83609545153536
-153.06280092299986,-194.57937350584595,-927.9940935091951,-549.702287691939,-0.41716169989243435,-764.0855271003094
-25.564138898750947,-86.05968365036134,-1138.095523400377,-620.9668392692091,-14.526230672310426,-1077.2472994904622
-85.74278506336827,-129.83437856592766,-1584.3004985423472,-904.5790708200151,-1.0606019375903397,-1558.792939409264
-262.7558964395644,-251.7401420130622,-140.9514237112533,-163.03653902203195,-208.20336232954804,-33.92047549457378
-274.5645216796453,-294.81170634560704,-238.4221564193174,-102.80927367161557,-224.3978693289784,-39.64556975718749
-41.65485137300008,-71.50435806095349,-1037.709645221344,-596.7030692219593,-7.608722614661859,-1030.8930081003232
-69.98685908982685,-80.65969708056417,-683.2775514762603,-374.1674924583929,-3.9697307476178993,-590.3090974575487
-69.6669369008686,-45.60209517566953,-382.70144386040346,-243.27333507786994,-18.97298918599025,-352.328369781211
-72.8837436602441,-87.66374960080651,-281.7606676363974,-136.00910692718548,-46.944174020691065,-174.62005184425234
-286.4071788416951,-297.21323892190446,-302.9978541107665,-246.7101140863762,-102.65842529776587,-71.49567764705286
-346.127544247298,-306.81359863251816,-114.30145971124223,-128.46564162788079,-289.6281960734057,-36.35664262920761
-498.9810718753706,-518.5654233960095,-233.36808687613842,-253.1094616297603,-402.1725540171329,-6.521082997675925
-616.8980925177761,-628.1231210645649,-133.87441296225336,-126.92212201803616,-552.3271515139618,-49.86991093771359
-98.50743139557316,-120.58872125482996,-294.39458792924415,-128.2437082498482,-55.697154434214305,-141.55187068948413
-63.4007256923006,-77.01658117778355,-1159.3036109206155,-683.5278582801737,-4.179860453667096,-1164.860992108874
-34.544076595690726,-95.67138821440021,-399.38462203852373,-110.31615033213271,-82.19403834749163,-430.71470546140006
-432.1592839490631,-440.9327452470367,-155.80315586518648,-137.0547800807341,-354.7442233489578,-23.161840085015562
-43.84136992548165,-81.29562840081142,-528.1413096561395,-201.87332689962605,-16.196666925220853,-377.563120180569
-56.11267636143735,-57.35507038160127,-453.29188083903585,-237.18884062711962,-14.665442928043477,-362.8942618737539
-211.73936493778626,-185.52415715078723,-132.96841819107343,-112.99895566425207,-161.51637600808135,-59.08261638618964
-61.49945462207741,-79.88418307863414,-253.04816625460387,-122.07889111033629,-36.861508827598826,-256.86590031824727
-170.15254878159826,-165.0798907519138,-201.9151661137525,-132.26044323279234,-125.2162308496032,-64.59036968477095
-624.9066292800989,-587.5715011079614,-217.548922045565,-317.6642569437526,-506.25235412836616,-4.144037142773205
-265.2941099760264,-262.14748075600295,-227.97998295692378,-205.70893085262682,-183.12713156449104,-33.13702306359295
-59.36326635232422,-69.70439173013767,-504.15807357578853,-253.06870050951252,-11.790149806513421,-366.4090230778408
-531.6972583581157,-516.2606010932841,-178.09230394831326,-263.3374669299659,-433.5688575113059,-7.541145861023708
-120.68059745509288,-107.0717605275279,-243.8110404283009,-156.4387304997859,-82.59081275208692,-106.91736939634333
-84.86079321965659,-105.07961747888,-1251.813494407294,-739.7524614057628,-1.5021734331437164,-1225.9545412177556
-190.34685951612033,-206.87218993666903,-286.8272580053118,-207.9851549589152,-60.691300351280844,-117.36968884572427
-786.9154423138384,-815.834715046781,-424.2235164522551,-489.79444851335967,-582.9973915816793,-1.1741107405271773
-892.2444937464726,-843.4752916772302,-137.80819205292184,-363.92391800269553,-709.8252016393758,-15.261318534722404
-163.77835360156575,-192.3790589511295,-263.0965963089523,-158.7106135901814,-106.81351710069582,-70.95945027055944
-450.6366066454903,-475.9361576874068,-76.97122792845218,-118.85848250713772,-340.55351834914467,-51.083796561329564
-438.71232656000427,-429.9591986530265,-144.21247499894756,-235.70311285352898,-338.4316111159786,-14.551025293295321
-810.7554609725355,-786.7699321385365,-256.69889270810785,-403.3620721400665,-648.8948502094789,-1.8863208296235459
-7.588834106147751,-68.67070026814481,-816.5942442561578,-411.9369836627877,-57.27941027719224,-774.2601227856362
-713.2598637337877,-742.251960914209,-328.79235889823525,-387.3470400107958,-560.3314333498005,-1.6763345278127588
-235.30532002531785,-177.4146940892484,-145.23728776330356,-131.34502719986983,-186.22144088016054,-60.02156189992043
-56.062692316988674,-88.67799388567802,-369.994458488516,-185.5498388331376,-31.24126865109511,-227.84729292038543
-55.25153185747784,-78.00914459498892,-431.2070253893451,-225.56920420514533,-19.731959916962815,-309.35574786914214
-893.4779278716526,-877.6441727549235,-323.95507127665445,-489.1387878289369,-693.4102148493942,-0.9010197482577686
-174.20030613716915,-191.2367475947417,-380.21265033541044,-227.60532494239993,-41.098979595625735,-155.12357453551297
-203.9953108608244,-238.86141532734246,-185.05722662747723,-118.1200425585151,-178.57170530698394,-45.31333016636843
-431.2351549493958,-453.8541038168272,-201.9309826865408,-218.33714477061457,-368.0421157789664,-9.643525192849944
-302.27201487661574,-337.7077408945241,-183.8339518065668,-140.59810685018394,-260.40578668316004,-24.504903667022226
-56.13545529407723,-104.4797294212066,-367.4858044477902,-148.38052791520184,-52.34100952260204,-181.90664577038177
-31.757628066142694,-99.2679110001201,-662.927512804873,-340.3056541251987,-12.719936103556995,-488.8089654462914
-50.85257561509688,-88.62134190331147,-1498.416611472942,-839.2618731693022,-4.772528953302475,-1497.7669597000236
-3.779408472725206,-116.68319353144825,-763.6785389510029,-290.47827171925115,-95.90076158811101,-627.2059207926682
-427.0828714771009,-440.51257186629033,-322.88018768905437,-303.7277335680295,-267.6390209549137,-15.017716691034783
-437.21951656301,-476.56045016352186,-303.4239794444264,-265.99285580789353,-312.18638814288994,-10.85019449365851
-1.4845510290688393,-134.31142877763318,-980.3329560357017,-420.2815657916522,-92.87085578154353,-846.1127590267374
-118.5144242827286,-143.40839906572543,-1344.0938338304861,-812.0409623350872,-0.3891193293200692,-1302.3991313360846
-260.57192882357936,-269.37771563705616,-258.8689956909223,-206.33416695319465,-133.87878072393707,-51.39515849158891
