x1,x2,x3,x4,x5,x6,x7,x8
-14.20462404446573,-404.3288065542684,-17213.08811696372,-5713.198028535462,-80.3819135471718,-9081.377426308833,-2314.115876481855,-117.9498195688005
-156.1983560338669,-546.5635832326941,-7887.260164701583,-1776.124336906149,-26.403445314556368,-2359.22756015368,-540.0972194257121,-43.281055376401504
-544.5161713517483,-1210.9157802719685,-8477.592288816506,-1909.1352870475453,-395.499351216934,-1511.841914230738,-32.949386833260355,-472.27120318900666
-93.16789231482299,-402.84279817907475,-5197.313681392302,-1091.6065857123035,-77.91085170467514,-1434.704788622093,-344.29007552958274,-89.3745882508082
-17.165577218695187,-457.4116967745568,-7964.9377337023525,-1466.462089965367,-141.4107545663267,-3166.7009337143145,-1724.4428055217622,-39.81390455214909
-1247.8293453108809,-1984.308104437639,-5965.038499101103,-1349.1265507294515,-938.2577764662608,-157.93821725349372,-458.24209023651144,-1104.1701265463935
-150.3454579506464,-711.4636059115558,-11936.29747666412,-2703.354706901526,-34.51546881308129,-3606.872329486774,-569.2115331164846,-29.025485707370404
-1211.4529583906126,-1807.7820493214565,-8851.27527969324,-2318.5645950185476,-878.9364198085988,-1321.30855182605,-15.867542822420978,-990.6913657581938
-125.73223151780066,-576.7195072839216,-7783.871903865046,-1660.719430701059,-97.98303926432429,-1976.5772785649488,-240.40524467077515,-97.75427370948562
-100.32066748410982,-202.60009875912078,-6452.511313430347,-1300.188044276941,-77.61324218926731,-1953.2605031117891,-732.7655705818561,-20.85152611842364
-195.7249514586946,-861.0660561653908,-12753.912181957583,-3086.3796792542703,-18.670052443295685,-3898.937393349819,-479.55898081920475,-95.84356871382712
-174.29970366904612,-523.2279697746264,-5071.65545687848,-1295.9952620452318,-89.45720858853309,-1596.2678386280513,-220.95268810015705,-125.30798097807555
-381.8250344446701,-634.0722944796133,-2989.378430407723,-138.03646805307125,-333.9514221002609,-922.7733534489752,-1118.0822256867314,-356.5400696988521
-137.930692437082,-384.44294546234994,-9078.178771487628,-2192.3966092269916,-43.914628702211154,-3464.8156341740814,-1206.6045407968645,-10.496162211585935
-769.1673538271657,-1500.6535155063543,-12488.575776971575,-3474.3828382292622,-468.94524467860714,-2833.5387387479586,-17.05578254607834,-562.2045240345943
-124.50067711537072,-393.7211947819459,-6347.420188392289,-1697.2997502089615,-8.766664190859684,-3572.891522449178,-1975.7260818444697,-59.99887583995911
-2492.1367326331588,-3086.3997617940313,-3047.0658946666085,-658.0492150011133,-2315.1987725525432,-58.540250609382674,-2442.8956596816315,-2498.9142156715725
