instance,V1,V2,V3,T1,T2,T3,xA1,xA2,xA3,xB1,xB2,xB3,F1,F2,F3,Ff1,Ff2,FR,Q1,Q2,Q3,label
114,1.572564823,-0.18474353,-1.757357388,0.514235845,-0.013844304,0.019275568,-0.950695399,-0.526464368,-0.446074692,1.052254311,0.569652954,0.482808079,-0.976877873,-0.173826713,0.818281648,-0.748749015,1.632140249,-0.725488711,0.43903427,-0.018017164,0.911077482,1
116,0.760787531,-2.300315247,1.212223197,-0.143367755,-0.043813608,0.121491776,-0.006071128,0.299724978,0.34167188,-0.048800024,-0.345743759,-0.370764958,-0.800450413,-1.503075983,-0.700095387,0.799366051,-1.617524579,-1.344172504,-0.320224588,-1.449509188,1.518373399,8
118,-2.359481435,0.282650221,1.478879413,0.815146312,1.121011034,1.197373469,0.037249429,-0.432084183,-0.569576785,-0.042895012,0.480312242,0.648340124,-1.314557666,-1.647627911,-1.988879321,-1.529821174,-0.873822573,-0.699152793,-1.796583849,0.619490081,0.42063967,2
119,1.090572056,0.430248248,-0.484679994,0.070167509,-0.399293446,-0.389765169,-0.705722783,-0.327289126,-0.131766125,0.757382785,0.332612256,0.108094904,-0.425963387,0.042025406,0.911016046,0.071464842,0.96756014,-0.527509123,2.125901681,-1.277727934,0.068507112,7
120,0.380266925,0.491747426,0.606186343,0.381568436,0.73163072,0.693170922,-0.476963394,-0.730564357,-0.744278164,0.469528924,0.719636592,0.707635719,0.888475468,0.658357399,-0.165110666,0.251360613,-0.398027928,0.887807058,-0.546960652,1.382775409,1.248067194,7
122,-0.888135093,-0.529138926,1.091015827,1.217742034,1.522295195,1.521703614,-0.839395853,-1.041212866,-1.193147624,0.908466716,1.11046339,1.271800642,-0.380278822,-0.873284058,-1.852811281,-1.079460291,-1.114190805,0.135705263,-1.273580116,-0.735875985,-0.233956649,5
123,-0.63445469,2.0046272,-1.53918412,-0.807400096,-1.172854155,-1.186308091,0.933460766,0.787462627,0.794266625,-1.015105828,-0.829138911,-0.817934939,0.26115996,1.301435737,1.526566134,-0.528132564,2.289055451,0.580407365,0.169397207,0.748191653,0.94741266,6
126,0.887627733,0.860742493,-0.775577684,-0.896951742,-0.578642946,-0.551777905,0.470656372,0.216709726,0.276761485,-0.431163806,-0.159964314,-0.183555682,0.22522681,0.160502044,0.939222378,1.250089778,-0.114777021,-0.404456688,-1.09759473,1.044847949,0.867715126,8
127,-0.888135093,-0.123244352,1.381913517,0.570875921,0.957165516,0.995773072,-0.408214502,-0.746297443,-0.542971102,0.364507793,0.65369032,0.381854691,-0.44896206,-0.949234162,-1.218467927,-0.30015115,-1.137835396,-0.356755467,1.51270254,-0.902478776,-0.324359438,8
129,1.230096278,1.660231804,0.012270226,-1.469034848,-1.101196523,-1.044585687,0.777028902,0.299440891,0.350282219,-0.744409792,-0.210071445,-0.175970038,-0.140140688,-0.32263449,1.30135841,1.974389729,-0.412363989,-1.208727478,-0.652295116,0.554790969,0.139534921,6
130,0.253426723,-1.59922462,1.587966047,0.556667753,-0.058555373,-0.058984268,-0.44359548,0.291013709,0.229878513,0.441983771,-0.334198431,-0.275134074,-0.577991141,-0.149617407,-0.12022699,-1.060191877,0.864123601,-0.101763017,1.504313355,0.16979548,-0.504223123,1
131,-0.127093882,1.106739204,-0.363472623,-0.932323224,-0.779712064,-0.765533631,0.874853756,0.562890678,0.583577022,-0.901401683,-0.547978435,-0.558211324,0.46689745,0.477652935,0.813992089,0.91297652,0.076810375,0.052191269,-1.501680737,-1.876688,1.036331629,8
135,1.141308136,-0.246242708,-0.484679994,-0.928726376,-0.723402831,-0.810324269,0.637398726,0.637388441,0.534389471,-0.621300342,-0.627479194,-0.502801754,1.31834648,1.379132066,1.068314285,1.040184319,0.282938462,0.963319554,1.990713261,-0.762554184,-0.545392502,5
136,-0.63445469,0.614745781,-0.702853262,-0.723153585,-0.273101177,-0.202098633,0.663718637,0.221026657,0.392978878,-0.725609489,-0.225948934,-0.422105098,-0.379116257,-0.946039242,-0.152754797,1.117132389,-1.274584149,-1.028518646,-0.699255286,-0.3446525,0.3051382,6
137,-0.507614488,-0.369241064,0.460737498,-0.272836876,-0.682091426,-0.6511051,0.273678329,0.594590153,0.720353428,-0.308994918,-0.667748401,-0.834346345,-0.538815094,0.158669972,0.79351111,-0.57484971,1.453035072,-0.314268527,-0.885717924,-1.165823758,0.900370095,7
138,-0.532982528,-0.799735308,1.091015827,0.673421333,0.924067948,0.880913147,-0.076591179,-0.173288457,-0.481613755,0.086954935,0.196053614,0.563961391,0.893947795,0.139206473,-1.859217245,-0.596826794,-1.536720515,1.344163561,-0.072515632,0.345820935,-0.285554531,8
139,2.181397792,0.553246604,-0.121057882,0.85680318,0.838065414,0.855484097,-1.665249986,-1.605168426,-1.392703998,1.71257556,1.628820377,1.386809371,-0.914293611,-0.884662706,0.160575149,0.194624551,-0.040323839,-1.154131067,1.330506396,-0.000315321,-1.131141098,6
140,-2.131169072,1.229737559,0.484978972,-0.842392563,-0.570225842,-0.610604229,1.460744508,0.914095064,0.644604144,-1.483047964,-0.861736382,-0.540011918,1.238168757,1.317252244,0.461599041,0.280421909,0.313496675,1.274312469,-1.578223817,1.123958432,1.629467163,7
141,1.115940096,-0.123244352,-0.242265253,-0.415563332,-0.539347869,-0.51678529,-0.02925298,0.189569828,0.424930271,0.034044138,-0.206401867,-0.480202472,-0.590455672,-0.514874558,0.70542927,0.718007114,0.096540386,-1.059640621,1.101574388,-0.692364085,-1.039048972,5
142,-0.380774286,-0.73823613,-0.969509478,0.64847238,0.869859868,0.833922087,-0.394767248,-0.492410562,-0.713116719,0.435694204,0.531026647,0.788531594,0.486355134,0.096941098,-1.070652708,-0.442894599,-0.790006171,0.794010166,-0.499237754,1.205238326,-0.205170565,2
